"Issue","Title","Status","Assessment","UpstreamState","Snapshot","Url"
"75","Dungeon - Colosseum","Implemented source change","Parsed round metadata drives Colosseum gear-score gating and exact round rewards; client scenario confirmation remains useful.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/75"
"83","Trigger - SetMesh issues","Prior fork implementation; completeness unverified","Fork commit reference exists; scope/completeness requires code and behavior reconciliation","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/83"
"90","XML - Import KMS2 npc data","Partial or blocked: data parity","Existing parser/runtime support does not establish version-matched retail content/probability/translation completeness.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/90"
"91","XML - Add missing strings","Partial or blocked: data parity","Existing parser/runtime support does not establish version-matched retail content/probability/translation completeness.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/91"
"151","some Npc may missing ,but his collision still work","Historical report; not established as current defect","Open historical report or feature backlog; not established as a current fork defect","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/151"
"212","In-game depth damage calculator","Implemented source change","damage start/show/stop reports observed per-target player/pet/DoT metrics without combat simulation.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/212"
"247","Server XML - Update Shop Items to reflect GMS2 shops items instead of KMS2","Partial or blocked: data parity","Existing parser/runtime support does not establish version-matched retail content/probability/translation completeness.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/247"
"248","Server XML - Update Item Drops to reflect GMS2 drops instead of KMS2","Partial or blocked: data parity","Existing parser/runtime support does not establish version-matched retail content/probability/translation completeness.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/248"
"249","Implement weights for stat creation, rerolling, value rerolling","Partial: source data coverage","Category and server value weights implemented;6306 option IDs only have client-defined value ranges.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/249"
"251","Rest Exp","Partial: accounting corrected","Rested bonus is credited and deducted consistently. Exact table-driven offline/home accrual timing remains unverified.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/251"
"282","No notification when obtaining a furnishing item","Prior fork implementation; completeness unverified","Fork commit reference exists; scope/completeness requires code and behavior reconciliation","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/282"
"319","[KMS2 Branch] Hair, eyes, and cosmetics not showing options in their respective vendors","Client-version-specific report","KMS2 report; not established as a defect in the current NA/Live configuration.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/319"
"320","[KMS2 Branch] Debug issues on login","Client-version-specific report","KMS2 report; not established as a defect in the current NA/Live configuration.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/320"
"324","Cannot claim leisure reward from leveling up in Life Skills","Prior fork implementation; completeness unverified","Fork commit reference exists; scope/completeness requires code and behavior reconciliation","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/324"
"325","[Epic] Quest Issue - NPC Cadet Joddy doesn't spawn in Noxious Grotto","Historical report; not established as current defect","Open historical report or feature backlog; not established as a current fork defect","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/325"
"327","On Crazy Runners, speed boosts and speed slows don't work","Prior fork implementation; completeness unverified","Fork commit reference exists; scope/completeness requires code and behavior reconciliation","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/327"
"332","[Epic] Quest Issue - Quest Black Mushroom loops after cutscene.","Implemented source change; scenario pending","Quest-state matching correction from upstream #677 addresses the reported loop; no blanket gameplay completion claim.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/332"
"333","[Epic] Quest Issue - Cadet Joddy cannot found in Dark Wind HQ","Implemented source change; scenario pending","Quest-state matching correction from upstream #677 addresses the level20 Joddy sequence.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/333"
"334","[Epic] Quest Issue - Cannot pick up bombs nor use cannons","Partial: bomb pickup fixed","11 bomb object weapons ingested. Cannon InteractNpc/UseSkill payload and behavior remain unsupported.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/334"
"335","[Epic] Quest Issue - Enemies won't spawn","Historical report; not established as current defect","Open historical report or feature backlog; not established as a current fork defect","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/335"
"361","Errors related to enemy spawning","Implemented source change; scenario pending","Existing spawn cap retained; sampling now uses unique positions and native shuffle. Original report may include other scenarios.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/361"
"362","Portals inside the Pocket dimension map don't work","Prior fork implementation; completeness unverified","Fork commit reference exists; scope/completeness requires code and behavior reconciliation","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/362"
"363","Timer inside Pocket dimension doesn't teleport the player out the map once reaching 0","Prior fork implementation; completeness unverified","Fork commit reference exists; scope/completeness requires code and behavior reconciliation","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/363"
"364","[Epic] Quest Issue - Vayarian Guardian doesn't jump","Blocked: physical jump contract","Quest10003105/map02000313 uses NPC21500422 with physical JumpNode metadata. Packet float/trajectory/navigation semantics remain unverified; an inferred implementation was rejected.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/364"
"365","[Epic] Quest Issue - Wrong textures on Darkened Vayar","Historical report; not established as current defect","Open historical report or feature backlog; not established as a current fork defect","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/365"
"426","XML - Import rarities to GMS Xml from KMS","Partial or blocked: data parity","Existing parser/runtime support does not establish version-matched retail content/probability/translation completeness.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/426"
"433","Parse and use Feature.xml","Prior source support present","Existing feature/locale filtering loads feature.xml and feature_setting.xml; no duplicate filter system added.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/433"
"479","properJobWeight and weight do not apply class-specific drop rates","Partial or blocked: data parity","Existing parser/runtime support does not establish version-matched retail content/probability/translation completeness.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/479"
"483","Character Trait System","Gated: current client feature set","CharacterAbility data exists but NA/Live disables it; validated allocation/reset packet flow is unavailable.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/483"
"490","(Premium) Special White Potion doesnt get consumed","Implemented source change","Known premium potion skill90000409 level1 omission normalized to UseItem=true; existing consumption path retained.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/490"
"524","Fatal Exception: InventoryManager.Consume - System.InvalidOperationException when consuming ingredient","Prior source mitigation present","Original fatal ingredient-consume paths log and fail rather than throwing; upstream issue remains open.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/524"
"581","[Dungeon] Von Corta","Investigated; current defect not isolated","Map02000312 source and spawn-count code reviewed. Current runtime already caps candidate NPC choices; boss/elevator behavior still needs a current movement trace.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/581"
"582","[Dungeon] Twinkle Path - no progress after 1st child","Investigated; current defect not isolated","Map02000331 seeker01 has344 states. No isolated first-child failure established; the shared scheduler repair is not asserted as the specific cause.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/582"
"583","[Dungeon]/[Epic] Quest Issue - A Critical Moment, Shadow Alter - Mobs not moving, endless death","Investigated; combat trace required","Quest50001609 points to02000213 with other variants. No new cause established for continuous damage after the third fire; exact phase/difficulty needed.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/583"
"584","[Dungeon] Under the Palace - not finishable","Investigated; current defect not isolated","Maps02000252/02000310 and report reviewed. Manual expiry alteration does not establish a key/timer root cause.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/584"
"585","[Dungeon] Cusp of live - Unfinishable","Investigated; failure transition required","Map02000066 mob05/box102/spawn901 exists; source has separate5-13-second timers. No proof the displayed two-minute dungeon timer is the fault.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/585"
"586","[Dungeon] Horus Nest - Cannot go to 2nd stage","Implemented metadata correction; carrier scenario pending","Event NPC spawns now preserve declared patrols. Horus entrance02000177 carrier998/997 depend on those paths; full boarding/flight behavior still needs client confirmation.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/586"
"587","[Dungeon] Lubrium Clocktower - Boss Papulatus doesnt function allright","Investigated; skill/variant trace required","Clock Tower variants and02000332 reviewed; no new laser-geometry defect established without exact skill/variant/runtime evidence.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/587"
"588","[Dungeon] katramus depths - 2nd stage isnt started","Investigated; current defect not isolated","Katramus stage maps02000292-02000297 reviewed;02000294 main/main2 are follow-up anchors, but no confirmed second-stage/ladder defect isolated.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/588"
"589","[Epic] Quest Issue - A Long Parting doesnt register","Historical report; not established as current defect","Open historical report or feature backlog; not established as a current fork defect","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/589"
"590","[Epic] Quest Issue - Criminal Protection - (rayman missing)","Historical report; not established as current defect","Open historical report or feature backlog; not established as a current fork defect","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/590"
"591","[Epic] Quest Issue - An Unseen Threat - Portal to lennon missing","Historical report; not established as current defect","Open historical report or feature backlog; not established as a current fork defect","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/591"
"592","[Epic] Quest Issue - The Criminal Express - No 2nd stage","Historical report; not established as current defect","Open historical report or feature backlog; not established as a current fork defect","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/592"
"593","[Epic] Quest Issue - Pest Extermination - No 2nd Stage","Historical report; not established as current defect","Open historical report or feature backlog; not established as a current fork defect","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/593"
"594","[Epic] Quest Issue - The Fallen Chief - Jars not counting","Historical report; not established as current defect","Open historical report or feature backlog; not established as a current fork defect","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/594"
"595","[Dungeon] Lubelisk - No mobs, boss stuck","Blocked: jump and summon contracts","Barkhant normal/quest AI contains14/11 jumps and74/42 summons. Client trajectory semantics and authoritative summon-reference mappings remain unresolved; no guessed implementation enabled.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/595"
"596","Faction Quest System issue - Quests cannot be accepted from the specific npc.","Partial: acceptance failures surfaced; client scenario pending","NPC acceptance now returns explicit errors and uses atomic item/furnishing delivery. Trusted restarts include the summoned portal. Specific NPC/client behavior remains unverified; reputation/reset requirements are not bypassed.","open","2026-09-07","https://github.com/MS2Community/Maple2/issues/596"
"597","Faction Quest System issue - Reputation not counted","Blocked: reward and state contracts","Raw faction, rank, fameGrade, useMainFamePoint and fameLog fields are preserved. Award selectors 1/2, fameLog=5000, ownership scope and some faction wire IDs remain unverified; no guessed reputation grants or packets enabled.","open","2026-09-07","https://github.com/MS2Community/Maple2/issues/597"
"598","[Dungeon] Dark descent - Mobs dont spawn","Investigated; failing round invocation required","Map02000350 has73 event-NPC spawns and round scripts. Missing enemies are not simply absent spawn metadata; no first failing invocation established.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/598"
"600","[epic] Emergency Launch - Dungeon quick closes","Prior fork implementation; completeness unverified","Fork commit reference exists; scope/completeness requires code and behavior reconciliation","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/600"
"601","[Epic] Quest Issue - An Audience With Alvanos - Alvanos is no boss","Historical report; not established as current defect","Open historical report or feature backlog; not established as a current fork defect","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/601"
"602","[Epic] Quest Issue - Secrets In The Snow - Surnuny doesnt jump, mobs don't spawn","Confirmed summon gap; carrier behavior unresolved","Quest50100280/map52000084 NPC21421327 Type-A AI has151 summon commands and no jump nodes. Missing enemies and carrier/jump symptoms are distinct.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/602"
"604","[Epic] Quest Issue - Lifting the veil - blocks disappear on placement and after 4 you cannot pick up more.","Historical report; not established as current defect","Open historical report or feature backlog; not established as a current fork defect","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/604"
"605","[Epic] Quest Issue - The rear guard - nothing happens","Historical report; not established as current defect","Open historical report or feature backlog; not established as a current fork defect","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/605"
"606","[Epic] Quest Issue - A grudge from long ago","Historical report; not established as current defect","Open historical report or feature backlog; not established as a current fork defect","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/606"
"608","[lapenshard] Red Lapenshard attacks do 1 damage","Partial: prior implementation","Lapenshard activation/removal exists; this is not proof every red-lapenshard damage case works.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/608"
"609","[Epic] Quest Issue - The Daring Rescue - Next step isnt activated","Historical report; not established as current defect","Open historical report or feature backlog; not established as a current fork defect","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/609"
"611","Guard Captain Frey Missing","Implemented source/data correction","Targeted Frey re-entry trigger recovery preserves next-quest progression; real ingested metadata and transition tests verified.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/611"
"667","Add dedicated PartyVoteKickDurationSeconds constant for vote-kick timeout","Unresolved data definition","Dedicated vote-kick timeout value remains unconfirmed; core vote kick is not wholly absent.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/667"
"668","[Epic] Quest Issue - The Investigation - The Great Winn Stilton","Unreproduced report","Source spawn positions do not justify a coordinate patch; requires current client/runtime evidence.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/668"
"669","[Dungeon] Toxic Garden - Unable to pickup flamethrower","Implemented source/data correction","20 Toxic Garden object weapons are preserved alongside trigger metadata.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/669"
"670","[Dungeon] Any dungeon will not show proper total damage done by player(s)","Implemented source change; scenario pending","Result no longer adds1 to accumulated values; prior fork damage accumulation retained.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/670"
"671","[Epic] Crisis In Henesys - Unable to see player character after cutscene","Implemented source change; client pending","ResetCamera clears selected trigger-camera visibility using existing packets. Full cutscene confirmation remains.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/671"
"673","Client error 10053","Unreproduced report","Healthy local login/game startup does not establish the cause of the historical10053 report.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/673"
